Species,Specimen Number,AgeClass,AnteriorSVL,PosteriorSVL,Locality,Sex,Atlas Neural Crest,Sacrum Notochord,Bony Protuberance,Spongy Lateral,Spongy Anterior
Tigrinum,1622,Unknown,95,107,KenNAcountyNAMD,Male,1,1,0,2,2
Tigrinum,1629,Unknown,89,99,KenNAcountyNAMD,Female,1,1,1,2,2
Tigrinum,1646,larva,68,76,KenNAcountyNAMD,Female,1,0,0,1,2
Tigrinum,1667,Unknown,91,104,PoloNAIllinois,Male,1,1,0,1,0
Tigrinum,1668,Unknown,90,102,PoloNAIllinois,Male,1,0,1,1,1
Tigrinum,1669,Unknown,78,85,PoloNAIllinois,Male,0,0,1,2,2
Tigrinum,1671,Unknown,76,82,PoloNAIllinois,Male,1,1,0,2,2
Tigrinum,1672,Unknown,72,80,PoloNAIllinois,Unknown,1,0,1,0,2
Tigrinum,1674,Unknown,72,78,PoloNAIllinois,Female,1,1,1,1,1
Tigrinum,1675,Unknown,73,78,PoloNAIllinois,Female,1,1,1,1,2
Tigrinum,1679,Unknown,70,76,PoloNAIllinois,Female,1,1,1,0,2
Tigrinum,1680,Unknown,70,75,PoloNAIllinois,Male,1,1,1,1,1
Tigrinum,1681,Unknown,68,75,PoloNAIllinois,Unknown,1,0,0,1,2
Tigrinum,1682,Unknown,67,73,PoloNAIllinois,Female,1,1,0,0,1
Tigrinum,1683,Unknown,61,72,PoloNAIllinois,Female,1,1,0,0,1
Tigrinum,1684,Unknown,67,72,PoloNAIllinois,Female,1,0,0,1,1
Tigrinum,1685,Unknown,67,71,PoloNAIllinois,Unknown,1,1,1,1,2
Tigrinum,1686,Unknown,65,70,PoloNAIllinois,Unknown,1,1,1,1,2
Tigrinum,1690,Unknown,53,57,PoloNAIllinois,Unknown,1,1,1,0,1
Tigrinum,1693,Unknown,75,82,UniversitNAParkNANeNAMexico,Unknown,1,0,1,0,0
Mavortium,1696,Unknown,58,63,RaymondvilleNAKenedNACountyNATX,Female,1,1,0,1,1
Mavortium,1698,Unknown,113,128,MilleNARanchesNAFalfurriasNABrookNAcountyNATX,Unknown,1,1,0,1,2
Mavortium,1700,larva,58,61,MilleNARanchesNAFalfurriasNABrookNAcountyNATX,Unknown,1,0,0,0,1
Mavortium,1701,larva,57,60,MilleNARanchesNAFalfurriasNABrookNAcountyNATX,Unknown,1,0,0,0,1
Mavortium,1702,Unknown,56,60,MilleNARanchesNAFalfurriasNABrookNAcountyNATX,Unknown,1,1,1,1,1
Mavortium,1703,larva,54,58,MilleNARanchesNAFalfurriasNABrookNAcountyNATX,Unknown,1,0,0,0,0
Mavortium,1704,larva,54,57,MilleNARanchesNAFalfurriasNABrookNAcountyNATX,Unknown,0,0,1,0,2
Mavortium,1705,larva,47,49,MilleNARanchesNAFalfurriasNABrookNAcountyNATX,Unknown,0,0,0,0,1
Mavortium,1706,larva,31,33,MilleNARanchesNAFalfurriasNABrookNAcountyNATX,Unknown,0,0,0,0,0
Mavortium,1708,Unknown,83,93,Colorado,Female,1,0,1,1,2
Texanum,1709,Unknown,79,86,RNAAxtell,Male,1,1,0,2,2
Texanum,1710,Unknown,77,84,AxtellNAPrep,Male,1,1,1,2,2
Texanum,1711,Unknown,76,82,AxtellNAPrep,Male,1,1,0,2,2
Texanum,1714,Unknown,69,75,AxtellNAPrep,Male,1,1,1,2,2
Texanum,1720,Unknown,68,72,AxtellNAPrep,Female,1,1,1,2,2
Texanum,1721,Unknown,72,76,AltiNAPrep,Male,1,1,1,2,2
Texanum,1725,Unknown,74,82,HorsNAShoNALakeNAAlexandriNAcountyNAIL,Female,1,1,0,2,2
Texanum,1726,Unknown,73,81,HorsNAShoNALakeNAAlexandriNAcountyNAIL,Unknown,1,1,0,2,2
Texanum,1737,Unknowwn,78,83,.9mNANAInteNAHyNA8NATraviNAcountyNATX,Male,1,1,0,2,2